date,t2m,sp,rh,wind_speed,pwv,tp
2018/2/14 9:15,285.74,1009.22,57.38,2.14,17.98,1.00E-05
2018/2/14 9:30,285.6,1009.49,58.05,2.14,17.94,1.00E-05
2018/2/14 9:45,285.47,1009.77,58.71,2.14,18.06,1.00E-05
2018/2/14 10:00,285.34,1010.04,59.37,2.13,17.79,1.00E-05
2018/2/14 10:15,285.39,1010.27,59.11,2.08,18.23,1.00E-05
2018/2/14 10:30,285.44,1010.51,58.84,2.03,18.3,1.00E-05
2018/2/14 10:45,285.49,1010.74,58.58,1.98,18.35,1.00E-05
2018/2/14 11:00,285.55,1010.97,58.32,1.93,17.89,1.00E-05
2018/2/14 11:15,285.59,1011.23,58.26,1.93,17.67,1.00E-05
2018/2/14 11:30,285.63,1011.49,58.2,1.92,17.83,1.00E-05
2018/2/14 11:45,285.67,1011.74,58.14,1.92,18.07,1.00E-05
2018/2/14 12:00,285.71,1012,58.08,1.91,17.72,1.00E-05
2018/2/14 12:15,285.69,1012.21,58.27,1.99,17.73,1.00E-05
2018/2/14 12:30,285.66,1012.43,58.45,2.06,17.92,1.00E-05
2018/2/14 12:45,285.63,1012.64,58.64,2.13,18.37,1.00E-05
2018/2/14 13:00,285.61,1012.85,58.83,2.2,18,1.00E-05
2018/2/14 13:15,285.59,1012.95,58.8,2.26,18.08,1.00E-05
2018/2/14 13:30,285.58,1013.05,58.77,2.32,18.31,1.00E-05
2018/2/14 13:45,285.57,1013.15,58.74,2.38,18.48,1.00E-05
2018/2/14 14:00,285.55,1013.24,58.72,2.44,18.64,1.00E-05
2018/2/14 14:15,285.29,1013.45,58.5,2.44,18.59,1.00E-05
2018/2/14 14:30,285.03,1013.66,58.29,2.44,18.67,1.00E-05
2018/2/14 14:45,284.76,1013.86,58.07,2.43,18.84,1.00E-05
2018/2/14 15:00,284.5,1014.07,57.86,2.43,18.44,1.00E-05
2018/2/14 15:15,284.44,1014,57.71,2.41,18.75,1.00E-05
2018/2/14 15:30,284.37,1013.92,57.56,2.4,19.24,1.00E-05
2018/2/14 15:45,284.31,1013.84,57.41,2.39,19.01,1.00E-05
2018/2/14 16:00,284.25,1013.77,57.25,2.38,18.55,1.00E-05
2018/2/14 16:15,284.11,1013.68,57.27,2.31,18.3,1.00E-05
2018/2/14 16:30,283.98,1013.59,57.3,2.24,18.08,1.00E-05
2018/2/14 16:45,283.85,1013.5,57.32,2.16,18.16,1.00E-05
2018/2/14 17:00,283.71,1013.42,57.34,2.09,18.48,1.00E-05
2018/2/14 17:15,283.7,1013.45,57.71,2.06,18.74,1.00E-05
2018/2/14 17:30,283.68,1013.48,58.09,2.03,18.66,1.00E-05
2018/2/14 17:45,283.66,1013.52,58.47,2,18.82,1.00E-05
2018/2/14 18:00,283.64,1013.55,58.84,1.97,18.94,1.00E-05
2018/2/14 18:15,283.74,1013.72,59.38,2.08,18.97,1.00E-05
2018/2/14 18:30,283.84,1013.9,59.91,2.19,19.14,1.00E-05
2018/2/14 18:45,283.94,1014.07,60.44,2.29,19.31,1.00E-05
2018/2/14 19:00,284.04,1014.24,60.97,2.4,19.22,1.00E-05
2018/2/14 19:15,283.9,1014.23,61.65,2.49,19.27,1.00E-05
2018/2/14 19:30,283.76,1014.22,62.32,2.57,19.3,1.00E-05
2018/2/14 19:45,283.63,1014.2,63,2.66,19.36,1.00E-05
2018/2/14 20:00,283.49,1014.19,63.67,2.74,19.12,1.00E-05
2018/2/14 20:15,283.58,1014.17,64.57,2.73,19.03,1.00E-05
2018/2/14 20:30,283.67,1014.14,65.46,2.72,19.24,1.00E-05
2018/2/14 20:45,283.76,1014.12,66.35,2.71,19.48,1.00E-05
2018/2/14 21:00,283.85,1014.09,67.24,2.7,19.42,1.00E-05
2018/2/14 21:15,283.59,1014.35,68.92,2.79,19.56,1.00E-05
2018/2/14 21:30,283.34,1014.61,70.6,2.87,19.65,1.00E-05
2018/2/14 21:45,283.08,1014.87,72.28,2.96,19.75,1.00E-05
2018/2/14 22:00,282.83,1015.13,73.96,3.05,19.55,1.00E-05
2018/2/14 22:15,282.87,1015.22,75.4,3.03,19.87,1.00E-05
2018/2/14 22:30,282.91,1015.31,76.84,3.02,20.12,1.00E-05
2018/2/14 22:45,282.95,1015.41,78.29,3,20.2,1.00E-05
2018/2/14 23:00,282.99,1015.5,79.73,2.98,20.4,1.00E-05
2018/2/14 23:15,282.94,1015.71,81.04,3.16,21.03,1.00E-05
2018/2/14 23:30,282.89,1015.93,82.35,3.34,21.3,1.00E-05
2018/2/14 23:45,282.83,1016.14,83.66,3.52,21.53,1.00E-05
2018/2/15 0:00,282.78,1016.35,84.97,3.7,21.2,1.00E-05
2018/2/15 0:15,282.7,1016.51,85.79,3.86,21.22,1.00E-05
2018/2/15 0:30,282.61,1016.67,86.61,4.03,21.37,1.00E-05
2018/2/15 0:45,282.53,1016.82,87.43,4.19,21.32,1.00E-05
2018/2/15 1:00,282.44,1016.98,88.25,4.35,21.01,1.00E-05
2018/2/15 1:15,282.4,1017.04,88.19,4.34,20.85,1.00E-05
2018/2/15 1:30,282.36,1017.1,88.13,4.32,20.84,0.01
2018/2/15 1:45,282.32,1017.17,88.08,4.3,20.95,0.01
2018/2/15 2:00,282.28,1017.23,88.02,4.28,21.05,0.01
2018/2/15 2:15,282.28,1017.23,87.54,4.23,21.19,0.01
2018/2/15 2:30,282.29,1017.22,87.06,4.19,20.99,0.02
2018/2/15 2:45,282.29,1017.22,86.58,4.14,21,0.02
2018/2/15 3:00,282.3,1017.21,86.1,4.09,21.23,0.02
2018/2/15 3:15,282.32,1017.22,85.49,4.1,21.13,0.02
2018/2/15 3:30,282.33,1017.23,84.88,4.11,21.12,0.02
2018/2/15 3:45,282.35,1017.25,84.27,4.11,21.21,0.02
2018/2/15 4:00,282.37,1017.26,83.66,4.12,20.98,0.02
2018/2/15 4:15,282.36,1016.94,83.17,4.1,20.91,0.02
2018/2/15 4:30,282.36,1016.62,82.67,4.07,21.01,0.02
2018/2/15 4:45,282.35,1016.3,82.18,4.04,21.14,0.01
2018/2/15 5:00,282.35,1015.98,81.68,4.01,21.43,0.01
2018/2/15 5:15,282.24,1015.82,81.34,3.96,21.4,0.01
2018/2/15 5:30,282.12,1015.66,81,3.9,20.94,0.01
2018/2/15 5:45,282.01,1015.5,80.66,3.84,20.6,1.00E-05
2018/2/15 6:00,281.9,1015.34,80.32,3.78,20.46,1.00E-05
2018/2/15 6:15,281.95,1015.17,80.23,3.66,20.31,1.00E-05
2018/2/15 6:30,282.01,1015,80.13,3.54,20.37,0.01
2018/2/15 6:45,282.07,1014.83,80.04,3.42,20.46,0.01
2018/2/15 7:00,282.12,1014.66,79.95,3.3,20.59,0.01
2018/2/15 7:15,281.9,1014.66,79.87,3.25,20.7,0.01
2018/2/15 7:30,281.68,1014.66,79.8,3.2,20.94,0.02
2018/2/15 7:45,281.47,1014.66,79.72,3.14,21.1,0.02
2018/2/15 8:00,281.25,1014.66,79.65,3.09,21.37,0.02
2018/2/15 8:15,281.3,1014.78,79.64,3.09,21.33,0.03
2018/2/15 8:30,281.35,1014.9,79.64,3.08,21.57,0.03
2018/2/15 8:45,281.4,1015.02,79.64,3.07,21.93,0.03
2018/2/15 9:00,281.45,1015.14,79.63,3.06,21.71,0.04
2018/2/15 9:15,281.1,1015.24,80.07,3.1,21.66,0.05
2018/2/15 9:30,280.76,1015.35,80.51,3.13,21.49,0.07
2018/2/15 9:45,280.41,1015.46,80.95,3.17,21.46,0.08
2018/2/15 10:00,280.06,1015.56,81.39,3.2,21.41,0.09
2018/2/15 10:15,280.08,1015.69,81.34,3.23,21.62,0.1
2018/2/15 10:30,280.1,1015.82,81.3,3.27,21.39,0.11
2018/2/15 10:45,280.12,1015.95,81.26,3.3,20.91,0.12
2018/2/15 11:00,280.14,1016.08,81.21,3.33,20.44,0.13
2018/2/15 11:15,280.1,1016.27,81.33,3.39,20.49,0.13
2018/2/15 11:30,280.06,1016.45,81.45,3.44,20.95,0.14
2018/2/15 11:45,280.02,1016.63,81.57,3.49,21.14,0.14
2018/2/15 12:00,279.99,1016.82,81.68,3.55,21.01,0.14
2018/2/15 12:15,279.97,1016.96,81.9,3.48,21.24,0.19
2018/2/15 12:30,279.95,1017.11,82.12,3.41,21.36,0.23
2018/2/15 12:45,279.93,1017.25,82.34,3.35,21.76,0.28
2018/2/15 13:00,279.91,1017.4,82.55,3.28,21.63,0.32
2018/2/15 13:15,279.81,1017.35,82.95,3.23,21.77,0.29
2018/2/15 13:30,279.72,1017.3,83.34,3.18,21.83,0.26
2018/2/15 13:45,279.63,1017.25,83.73,3.12,21.51,0.23
2018/2/15 14:00,279.54,1017.2,84.12,3.07,21.45,0.2
2018/2/15 14:15,279.37,1017.25,84.45,3,21.36,0.21
2018/2/15 14:30,279.2,1017.3,84.77,2.94,21.36,0.21
2018/2/15 14:45,279.03,1017.36,85.09,2.87,21.32,0.22
2018/2/15 15:00,278.86,1017.41,85.41,2.8,21.25,0.22
2018/2/15 15:15,278.88,1017.28,85.82,2.7,21.77,0.19
2018/2/15 15:30,278.91,1017.14,86.23,2.6,22.27,0.16
2018/2/15 15:45,278.93,1017.01,86.64,2.5,21.95,0.13
2018/2/15 16:00,278.96,1016.88,87.05,2.4,21.65,0.1
2018/2/15 16:15,278.94,1016.82,87.35,2.28,21.33,0.1
2018/2/15 16:30,278.92,1016.77,87.64,2.16,20.98,0.11
2018/2/15 16:45,278.9,1016.71,87.93,2.03,20.78,0.11
2018/2/15 17:00,278.88,1016.66,88.22,1.91,20.65,0.11
2018/2/15 17:15,278.9,1016.5,88.54,1.82,20.56,0.11
2018/2/15 17:30,278.93,1016.33,88.85,1.73,20.31,0.12
2018/2/15 17:45,278.96,1016.17,89.16,1.64,20.28,0.12
2018/2/15 18:00,278.98,1016.01,89.47,1.56,20.58,0.12
2018/2/15 18:15,279.03,1016.03,89.77,1.69,20.53,0.09
2018/2/15 18:30,279.08,1016.05,90.07,1.83,20.39,0.07
2018/2/15 18:45,279.13,1016.07,90.37,1.97,20.3,0.04
2018/2/15 19:00,279.17,1016.08,90.67,2.11,20.01,0.01
2018/2/15 19:15,279.12,1016.11,91.13,2.31,19.75,0.01
2018/2/15 19:30,279.06,1016.13,91.6,2.51,19.58,0.01
2018/2/15 19:45,279.01,1016.15,92.07,2.71,19.1,1.00E-05
2018/2/15 20:00,278.95,1016.17,92.54,2.91,18.4,1.00E-05
2018/2/15 20:15,278.92,1016.21,92.27,2.97,18.02,1.00E-05
2018/2/15 20:30,278.89,1016.24,91.99,3.03,17.96,1.00E-05
2018/2/15 20:45,278.86,1016.27,91.72,3.08,17.62,1.00E-05
2018/2/15 21:00,278.82,1016.31,91.45,3.14,17.11,1.00E-05
2018/2/15 21:15,278.8,1016.44,92.33,2.95,16.9,1.00E-05
2018/2/15 21:30,278.77,1016.57,93.21,2.76,16.85,1.00E-05
2018/2/15 21:45,278.74,1016.7,94.09,2.57,16.68,1.00E-05
2018/2/15 22:00,278.71,1016.83,94.97,2.38,16.59,1.00E-05
2018/2/15 22:15,278.71,1016.86,95,2.16,16.68,1.00E-05
2018/2/15 22:30,278.71,1016.89,95.03,1.93,16.65,1.00E-05
2018/2/15 22:45,278.71,1016.93,95.06,1.71,16.48,1.00E-05
2018/2/15 23:00,278.72,1016.96,95.09,1.48,16.43,1.00E-05
2018/2/15 23:15,278.65,1017.05,95.65,1.38,16.43,1.00E-05
2018/2/15 23:30,278.58,1017.15,96.21,1.28,16.1,1.00E-05
2018/2/15 23:45,278.51,1017.24,96.77,1.18,15.79,1.00E-05
2018/2/16 0:00,278.44,1017.34,97.33,1.08,14.96,1.00E-05
2018/2/16 0:15,278.26,1017.5,96.98,1.15,14.93,1.00E-05
2018/2/16 0:30,278.08,1017.65,96.63,1.21,14.79,1.00E-05
2018/2/16 0:45,277.9,1017.81,96.28,1.28,14.5,1.00E-05
2018/2/16 1:00,277.72,1017.97,95.93,1.35,13.96,1.00E-05
2018/2/16 1:15,278.47,1018.11,95.05,1.47,13.41,1.00E-05
2018/2/16 1:30,279.22,1018.25,94.18,1.6,12.7,1.00E-05
2018/2/16 1:45,279.98,1018.4,93.3,1.73,12.1,1.00E-05
2018/2/16 2:00,280.73,1018.54,92.42,1.86,11.56,1.00E-05
2018/2/16 2:15,280.78,1018.62,90.77,1.97,10.96,1.00E-05
2018/2/16 2:30,280.83,1018.71,89.12,2.07,10.6,1.00E-05
2018/2/16 2:45,280.89,1018.79,87.47,2.17,10.66,1.00E-05
2018/2/16 3:00,280.94,1018.88,85.83,2.28,10.51,1.00E-05
2018/2/16 3:15,280.95,1018.81,84.3,2.28,10.3,1.00E-05
2018/2/16 3:30,280.96,1018.74,82.77,2.28,10.41,1.00E-05
2018/2/16 3:45,280.96,1018.67,81.25,2.27,10.53,1.00E-05
2018/2/16 4:00,280.97,1018.59,79.72,2.27,10.4,1.00E-05
2018/2/16 4:15,281.76,1018.36,78.03,2.21,10.21,1.00E-05
2018/2/16 4:30,282.55,1018.13,76.34,2.15,10.24,1.00E-05
2018/2/16 4:45,283.34,1017.89,74.65,2.09,9.95,1.00E-05
2018/2/16 5:00,284.13,1017.66,72.96,2.02,9.91,1.00E-05
2018/2/16 5:15,284.12,1017.44,72.04,1.92,9.93,1.00E-05
2018/2/16 5:30,284.11,1017.21,71.12,1.82,9.42,1.00E-05
2018/2/16 5:45,284.11,1016.99,70.21,1.72,9.23,1.00E-05
2018/2/16 6:00,284.1,1016.77,69.29,1.62,9.3,1.00E-05
2018/2/16 6:15,284.13,1016.61,68.69,1.51,9.17,1.00E-05
2018/2/16 6:30,284.16,1016.44,68.09,1.4,9.51,1.00E-05
2018/2/16 6:45,284.2,1016.28,67.5,1.29,9.47,1.00E-05
2018/2/16 7:00,284.23,1016.11,66.9,1.18,9.66,1.00E-05
2018/2/16 7:15,284.44,1016.11,66.47,1.06,9.62,1.00E-05
2018/2/16 7:30,284.66,1016.11,66.04,0.94,9.55,1.00E-05
2018/2/16 7:45,284.87,1016.1,65.62,0.82,9.41,1.00E-05
2018/2/16 8:00,285.09,1016.1,65.19,0.7,9.28,1.00E-05
2018/2/16 8:15,285.13,1016.13,65.14,0.58,9.25,1.00E-05
2018/2/16 8:30,285.16,1016.16,65.08,0.45,9.57,1.00E-05
2018/2/16 8:45,285.2,1016.19,65.03,0.32,9.82,1.00E-05
2018/2/16 9:00,285.24,1016.23,64.98,0.2,9.52,1.00E-05
2018/2/16 9:15,284.67,1016.26,66.33,0.61,9.27,1.00E-05
2018/2/16 9:30,284.1,1016.3,67.68,1.01,9.25,1.00E-05
2018/2/16 9:45,283.53,1016.33,69.02,1.42,9.41,1.00E-05
2018/2/16 10:00,282.96,1016.37,70.37,1.83,9.47,1.00E-05
2018/2/16 10:15,282.57,1016.52,70.78,1.94,9.52,1.00E-05
2018/2/16 10:30,282.17,1016.67,71.18,2.05,9.09,1.00E-05
2018/2/16 10:45,281.78,1016.82,71.59,2.16,8.85,1.00E-05
2018/2/16 11:00,281.39,1016.98,72,2.27,8.54,1.00E-05
2018/2/16 11:15,281.38,1017.05,72.33,2.29,8.59,1.00E-05
2018/2/16 11:30,281.38,1017.13,72.66,2.31,8.7,1.00E-05
2018/2/16 11:45,281.38,1017.21,72.99,2.33,8.82,1.00E-05
2018/2/16 12:00,281.37,1017.29,73.32,2.35,8.88,1.00E-05
2018/2/16 12:15,281.37,1017.39,73.48,2.4,8.99,1.00E-05
2018/2/16 12:30,281.37,1017.49,73.63,2.44,9.13,1.00E-05
2018/2/16 12:45,281.37,1017.59,73.78,2.49,8.85,1.00E-05
2018/2/16 13:00,281.37,1017.69,73.94,2.54,8.43,1.00E-05
2018/2/16 13:15,281.51,1017.78,74.12,2.46,8.38,1.00E-05
2018/2/16 13:30,281.65,1017.87,74.3,2.39,8.37,1.00E-05
2018/2/16 13:45,281.79,1017.96,74.48,2.32,8.31,1.00E-05
2018/2/16 14:00,281.92,1018.04,74.67,2.25,7.93,1.00E-05
2018/2/16 14:15,281.47,1018.08,75.22,2.27,7.82,1.00E-05
2018/2/16 14:30,281.02,1018.11,75.78,2.29,7.68,1.00E-05
2018/2/16 14:45,280.57,1018.15,76.34,2.31,7.67,1.00E-05
2018/2/16 15:00,280.12,1018.18,76.9,2.33,7.98,1.00E-05
2018/2/16 15:15,280.42,1018.19,77.9,2.46,8.6,1.00E-05
2018/2/16 15:30,280.72,1018.19,78.9,2.6,8.92,1.00E-05
2018/2/16 15:45,281.02,1018.2,79.9,2.74,8.66,1.00E-05
2018/2/16 16:00,281.31,1018.2,80.9,2.88,8.43,1.00E-05
2018/2/16 16:15,281.32,1018.2,81.9,2.93,8.11,1.00E-05
2018/2/16 16:30,281.33,1018.2,82.9,2.97,7.99,1.00E-05
2018/2/16 16:45,281.34,1018.2,83.9,3.02,7.96,1.00E-05
2018/2/16 17:00,281.34,1018.2,84.9,3.07,8.02,1.00E-05
2018/2/16 17:15,281.33,1018.26,85.51,3.02,8.43,1.00E-05
2018/2/16 17:30,281.32,1018.31,86.13,2.98,8.66,1.00E-05
2018/2/16 17:45,281.3,1018.37,86.75,2.93,8.63,1.00E-05
2018/2/16 18:00,281.29,1018.42,87.36,2.89,8.59,1.00E-05
2018/2/16 18:15,281.23,1018.37,87.54,2.98,8.45,1.00E-05
2018/2/16 18:30,281.17,1018.32,87.71,3.08,8.36,1.00E-05
2018/2/16 18:45,281.11,1018.26,87.88,3.17,8.33,1.00E-05
2018/2/16 19:00,281.04,1018.21,88.05,3.27,8.19,1.00E-05
2018/2/16 19:15,280.96,1017.94,88.23,3.46,8.21,1.00E-05
2018/2/16 19:30,280.87,1017.67,88.41,3.65,8.15,1.00E-05
2018/2/16 19:45,280.78,1017.4,88.58,3.84,7.73,1.00E-05
2018/2/16 20:00,280.7,1017.13,88.76,4.03,7.74,1.00E-05
2018/2/16 20:15,280.68,1016.95,88.94,4.1,7.69,1.00E-05
2018/2/16 20:30,280.65,1016.78,89.13,4.17,7.6,1.00E-05
2018/2/16 20:45,280.63,1016.6,89.31,4.23,7.26,1.00E-05
2018/2/16 21:00,280.61,1016.43,89.49,4.3,7.35,1.00E-05
2018/2/16 21:15,280.53,1016.48,91.16,4.29,7.32,1.00E-05
2018/2/16 21:30,280.46,1016.53,92.83,4.27,7.15,1.00E-05
2018/2/16 21:45,280.38,1016.59,94.5,4.26,7.13,1.00E-05
2018/2/16 22:00,280.31,1016.64,96.17,4.25,7.15,1.00E-05
2018/2/16 22:15,280.34,1016.72,96.16,4.31,7.11,1.00E-05
2018/2/16 22:30,280.36,1016.79,96.14,4.37,6.84,1.00E-05
2018/2/16 22:45,280.39,1016.87,96.12,4.44,6.82,1.00E-05
2018/2/16 23:00,280.41,1016.94,96.11,4.5,6.99,1.00E-05
2018/2/16 23:15,280.4,1016.93,96.18,4.66,7.24,1.00E-05
2018/2/16 23:30,280.38,1016.92,96.24,4.82,7.55,1.00E-05
2018/2/16 23:45,280.36,1016.91,96.31,4.99,7.9,1.00E-05
2018/2/17 0:00,280.34,1016.9,96.38,5.15,8.65,1.00E-05
2018/2/17 0:15,280.28,1016.98,95.55,5.58,8.61,1.00E-05
2018/2/17 0:30,280.22,1017.07,94.72,6.02,8.16,1.00E-05
2018/2/17 0:45,280.16,1017.15,93.89,6.46,8.09,1.00E-05
2018/2/17 1:00,280.09,1017.24,93.06,6.9,7.9,1.00E-05
2018/2/17 1:15,280.69,1017.12,91.43,6.8,7.65,1.00E-05
2018/2/17 1:30,281.28,1017,89.81,6.7,7.41,1.00E-05
2018/2/17 1:45,281.87,1016.89,88.18,6.6,7.39,1.00E-05
2018/2/17 2:00,282.47,1016.77,86.56,6.5,7.59,1.00E-05
2018/2/17 2:15,282.42,1016.74,84.28,6.46,7.31,1.00E-05
2018/2/17 2:30,282.36,1016.7,82,6.42,6.95,1.00E-05
2018/2/17 2:45,282.31,1016.67,79.71,6.38,6.97,1.00E-05
2018/2/17 3:00,282.26,1016.63,77.43,6.33,7.18,1.00E-05
2018/2/17 3:15,282.45,1016.41,76.52,6.12,7.04,1.00E-05
2018/2/17 3:30,282.64,1016.19,75.61,5.91,7.28,1.00E-05
2018/2/17 3:45,282.83,1015.97,74.7,5.7,7.43,1.00E-05
2018/2/17 4:00,283.02,1015.75,73.8,5.49,7.85,1.00E-05
2018/2/17 4:15,283.62,1015.49,72.78,5.28,8.1,1.00E-05
2018/2/17 4:30,284.21,1015.23,71.77,5.08,8.44,1.00E-05
2018/2/17 4:45,284.81,1014.97,70.75,4.88,8.44,1.00E-05
2018/2/17 5:00,285.4,1014.72,69.74,4.67,8.81,1.00E-05
2018/2/17 5:15,285.41,1014.38,69.05,4.61,8.84,1.00E-05
2018/2/17 5:30,285.42,1014.03,68.37,4.55,8.52,1.00E-05
2018/2/17 5:45,285.43,1013.69,67.68,4.49,8.64,1.00E-05
2018/2/17 6:00,285.44,1013.35,67,4.43,9.2,1.00E-05
2018/2/17 6:15,285.54,1013.09,66.36,4.43,9.26,1.00E-05
2018/2/17 6:30,285.63,1012.83,65.72,4.43,9.44,1.00E-05
2018/2/17 6:45,285.73,1012.57,65.09,4.43,9.58,1.00E-05
2018/2/17 7:00,285.83,1012.31,64.45,4.43,10.21,1.00E-05
2018/2/17 7:15,285.84,1012.19,64.04,4.36,10.47,1.00E-05
2018/2/17 7:30,285.85,1012.07,63.63,4.28,10.71,1.00E-05
2018/2/17 7:45,285.86,1011.94,63.22,4.2,10.99,1.00E-05
2018/2/17 8:00,285.87,1011.82,62.81,4.13,11.67,1.00E-05
2018/2/17 8:15,285.78,1011.75,62.92,3.88,12.19,1.00E-05
2018/2/17 8:30,285.7,1011.67,63.04,3.64,12.91,1.00E-05
2018/2/17 8:45,285.61,1011.6,63.15,3.39,13.12,1.00E-05
2018/2/17 9:00,285.53,1011.52,63.26,3.15,13.47,1.00E-05
2018/2/17 9:15,285.17,1011.59,63.64,3.03,13.92,1.00E-05
2018/2/17 9:30,284.81,1011.66,64.02,2.9,14.47,1.00E-05
2018/2/17 9:45,284.45,1011.72,64.4,2.78,15.2,1.00E-05
2018/2/17 10:00,284.09,1011.79,64.78,2.66,15.98,1.00E-05
2018/2/17 10:15,284.08,1011.92,64.98,2.76,16.6,1.00E-05
2018/2/17 10:30,284.08,1012.06,65.17,2.86,16.88,1.00E-05
2018/2/17 10:45,284.07,1012.19,65.37,2.95,17,1.00E-05
2018/2/17 11:00,284.07,1012.32,65.56,3.05,17.23,1.00E-05
2018/2/17 11:15,284.13,1012.44,66.11,3.15,17.81,1.00E-05
2018/2/17 11:30,284.18,1012.57,66.66,3.26,18.26,1.00E-05
2018/2/17 11:45,284.24,1012.69,67.21,3.36,18.69,1.00E-05
2018/2/17 12:00,284.3,1012.81,67.76,3.46,18.9,1.00E-05
2018/2/17 12:15,284.32,1012.9,68.7,3.5,19.17,1.00E-05
2018/2/17 12:30,284.34,1012.98,69.65,3.54,19.23,1.00E-05
2018/2/17 12:45,284.37,1013.06,70.6,3.58,19.34,1.00E-05
2018/2/17 13:00,284.39,1013.15,71.54,3.62,19.38,1.00E-05
2018/2/17 13:15,284.33,1013.22,72.13,3.4,19.63,0.01
2018/2/17 13:30,284.26,1013.29,72.71,3.19,19.8,0.01
2018/2/17 13:45,284.19,1013.36,73.29,2.97,20.06,0.02
2018/2/17 14:00,284.12,1013.43,73.88,2.76,20.31,0.02
2018/2/17 14:15,284,1013.56,74.2,2.59,20.68,0.13
2018/2/17 14:30,283.89,1013.68,74.52,2.43,21.08,0.24
2018/2/17 14:45,283.77,1013.8,74.83,2.26,21.59,0.35
2018/2/17 15:00,283.65,1013.92,75.15,2.1,22.05,0.46
2018/2/17 15:15,283.5,1013.97,75.03,2.29,22.93,0.52
2018/2/17 15:30,283.34,1014.03,74.91,2.48,23.19,0.57
2018/2/17 15:45,283.19,1014.08,74.79,2.67,23.07,0.63
2018/2/17 16:00,283.04,1014.13,74.68,2.86,22.87,0.69
2018/2/17 16:15,282.97,1014.17,74.58,2.87,22.53,0.52
2018/2/17 16:30,282.9,1014.2,74.48,2.87,22.53,0.36
2018/2/17 16:45,282.83,1014.24,74.38,2.87,22.51,0.19
2018/2/17 17:00,282.76,1014.27,74.28,2.88,22.52,0.03
2018/2/17 17:15,282.77,1014.25,74.38,2.87,22.8,0.03
2018/2/17 17:30,282.78,1014.23,74.47,2.86,22.83,0.02
2018/2/17 17:45,282.8,1014.21,74.57,2.85,22.78,0.02
2018/2/17 18:00,282.81,1014.18,74.66,2.84,22.96,0.01
2018/2/17 18:15,282.82,1014.22,74.82,2.89,23.1,0.01
2018/2/17 18:30,282.83,1014.26,74.98,2.95,23.36,0.01
2018/2/17 18:45,282.84,1014.3,75.14,3,23.39,1.00E-05
2018/2/17 19:00,282.85,1014.34,75.3,3.05,23.45,1.00E-05
